iter	Logloss	Accuracy
0	0.6498443857	0.6152913519
1	0.6454091745	0.6153502973
2	0.6444406276	0.6173417259
3	0.6436157465	0.6178629879
4	0.6430981027	0.6182675149
5	0.6420717776	0.6201364296
6	0.6417668861	0.6206230178
7	0.6414463352	0.6208911614
8	0.6411063286	0.6216458932
9	0.6407862725	0.621647049
10	0.640512029	0.6219787612
11	0.6401976874	0.6222018289
12	0.6400267953	0.6225046463
13	0.6397910191	0.6228571627
14	0.6394109146	0.6229403797
15	0.6392961868	0.6230848536
16	0.6391179242	0.6232628455
17	0.6389034034	0.6235829997
18	0.6387385921	0.6239100887
19	0.6385363516	0.6241562722
20	0.63827793	0.6245885382
21	0.6380714568	0.6248266313
22	0.6378489539	0.6251514087
23	0.6376644662	0.6253351795
24	0.6372381876	0.6259049847
25	0.6370684767	0.6260459913
26	0.6368772971	0.6265418258
27	0.6366260924	0.6265591627
28	0.6364668019	0.626673586
29	0.6362963977	0.6268712263
30	0.6361878954	0.6271532395
31	0.6360164908	0.6272954018
32	0.6358710861	0.6273890209
33	0.6357222177	0.6275970634
34	0.6354781929	0.6277773668
35	0.6353501446	0.6277577184
36	0.6352126769	0.6279911882
37	0.6350660317	0.628347172
38	0.6347369456	0.6287713475
39	0.6345111337	0.6290059731
40	0.6343920322	0.6291804976
41	0.6342233476	0.629211704
42	0.6340566536	0.6294729129
43	0.6339254047	0.6296185426
44	0.6338018771	0.6297375891
45	0.6336614252	0.6299109578
46	0.6335307265	0.6299202042
47	0.6333816987	0.630070457
48	0.6329888252	0.6306391064
49	0.6328271082	0.6308344352
50	0.6327641447	0.6308725763
51	0.6322676471	0.6317035904
52	0.632100689	0.6317960537
53	0.631973827	0.6320457046
54	0.6318263549	0.632209827
55	0.6317067826	0.6322941998
56	0.6315841652	0.6324548548
57	0.6313947353	0.6325762129
58	0.6312265665	0.6327611395
59	0.6311044859	0.6329795841
60	0.6309796946	0.6332812457
61	0.6308817909	0.633451147
62	0.6307545388	0.6336002441
63	0.6306470221	0.6336661242
64	0.6303879952	0.6338730109
65	0.6302529	0.6340244196
66	0.6301713261	0.6341295966
67	0.6299460869	0.6342139694
68	0.6297733973	0.6343619107
69	0.6297027408	0.6344162329
70	0.6296267414	0.6345017614
71	0.6294902319	0.634615029
72	0.6294294295	0.634692467
73	0.629299673	0.6348958863
74	0.6292250793	0.6350207118
75	0.6290596882	0.6351894573
76	0.6289532953	0.6352830764
