iter	Passed	Remaining
0	1461	290868
1	4825	477701
2	7506	492949
3	9463	463691
4	11015	429618
5	13138	424824
6	15084	415900
7	18005	432126
8	20683	438953
9	24203	459871
10	26370	453090
11	28603	448113
12	30815	443267
13	33211	441235
14	35350	435986
15	37499	431244
16	39741	427805
17	41668	421311
18	43541	414793
19	45897	413076
20	47819	407608
21	50077	405171
22	51748	398236
23	53835	394793
24	55806	390644
25	57567	385257
26	59297	379944
27	61155	375666
28	62674	369560
29	64344	364619
30	66092	360311
31	67891	356432
32	69873	353604
33	71926	351172
34	73868	348236
35	75529	344079
36	77170	339966
37	78963	336632
38	80525	332426
39	82289	329158
40	83999	325755
41	85783	322708
42	87689	320168
43	89487	317272
44	91285	314429
45	93041	311488
46	96682	314733
47	98860	313057
48	100961	311125
49	103221	309664
50	104985	306723
51	106877	304188
52	108634	301307
53	110320	298275
54	111929	295085
55	114059	293295
56	115834	290601
57	117683	288121
58	119312	285137
59	121088	282539
60	123067	280432
61	124871	277939
62	126508	275106
63	128230	272490
64	129633	269238
65	131266	266511
66	133066	264146
67	134614	261311
68	136292	258758
69	138172	256605
70	140117	254580
71	142036	252508
72	143684	249972
73	145293	247391
74	146897	244828
75	148661	242553
76	150728	240774
77	152424	238406
78	154223	236215
79	156285	234428
80	158474	232820
81	160376	230785
82	162439	228980
83	163960	226422
84	165722	224212
85	167458	221980
86	168895	219370
87	170770	217344
88	172652	215330
89	174304	213038
90	175908	210703
91	177516	208388
92	179070	206027
93	180585	203638
94	182259	201444
95	183897	199222
96	185592	197072
97	187131	194769
98	188745	192558
99	190337	190337
100	191987	188185
101	193568	185977
102	195024	183664
103	196737	181603
104	198352	179461
105	199964	177327
106	201470	175109
107	203085	172998
108	204623	170832
109	206294	168786
110	207912	166704
111	209630	164709
112	211215	162617
113	212817	160546
114	214380	158455
115	215942	156371
116	217748	154471
117	219333	152418
118	220927	150379
119	222666	148444
120	224275	146427
121	225975	144475
122	227643	142508
123	229355	140572
124	231066	138640
125	232614	136615
126	234417	134744
127	236036	132770
128	237778	130870
129	239614	129023
130	241427	127164
131	243138	125253
132	244685	123262
133	246237	121280
134	248211	119509
135	249987	117641
136	251482	115645
137	253138	113728
138	254796	111817
139	256253	109822
140	257986	107951
141	259581	106026
142	261286	104149
143	262937	102253
144	264648	100383
145	266211	98461
146	267884	96584
147	269664	94746
148	272284	93198
149	274638	91546
150	276994	89885
151	278702	88011
152	281342	86425
153	283249	84606
154	284998	82741
155	286665	80854
156	288624	79050
157	291955	77608
158	293994	75809
159	295827	73956
160	297611	72092
161	299212	70185
162	301061	68339
163	302838	66476
164	304650	64622
165	306652	62808
166	308637	60988
167	310290	59102
168	311814	57196
169	313350	55297
170	314922	53407
171	316492	51522
172	318033	49635
173	319891	47799
174	321823	45974
175	323450	44106
176	325056	42239
177	326733	40382
178	328387	38525
179	330225	36691
180	332053	34856
181	333706	33003
182	335209	31139
183	336803	29287
184	338419	27439
185	339957	25588
186	341686	23753
187	343319	21914
188	345768	20124
189	348431	18338
190	351664	16570
191	354082	14753
192	356028	12912
193	358047	11073
194	359891	9227
195	361697	7381
196	363554	5536
197	365286	3689
198	367047	1844
199	368720	0
